od,hora_do_dia,dia_da_semana,n_viagens
alphabet city-garment district,11,5,1
alphabet city-garment district,14,5,2
alphabet city-garment district,15,5,1
alphabet city-garment district,19,5,1
alphabet city-garment district,21,5,1
alphabet city-garment district,22,5,1
alphabet city-garment district,23,5,1
alphabet city-gowanus,18,0,1
alphabet city-gramercy,7,0,1
alphabet city-gramercy,8,0,1
alphabet city-gramercy,9,0,1
alphabet city-gramercy,13,0,1
alphabet city-gramercy,14,0,1
alphabet city-gramercy,17,0,1
alphabet city-gramercy,22,0,1
alphabet city-gramercy,23,0,1
alphabet city-gramercy,0,1,1
alphabet city-gramercy,10,1,1
alphabet city-gramercy,12,1,2
alphabet city-gramercy,14,1,1
alphabet city-gramercy,15,1,1
alphabet city-gramercy,17,1,1
alphabet city-gramercy,18,1,1
alphabet city-gramercy,20,1,1
alphabet city-gramercy,22,1,1
alphabet city-gramercy,0,2,2
alphabet city-gramercy,8,2,1
alphabet city-gramercy,9,2,2
alphabet city-gramercy,12,2,1
alphabet city-gramercy,13,2,2
alphabet city-gramercy,19,2,1
alphabet city-gramercy,20,2,1
alphabet city-gramercy,21,2,2
alphabet city-gramercy,22,2,1
alphabet city-gramercy,23,2,1
alphabet city-gramercy,0,3,1
alphabet city-gramercy,8,3,1
alphabet city-gramercy,9,3,1
alphabet city-gramercy,10,3,1
alphabet city-gramercy,18,3,2
alphabet city-gramercy,22,3,2
alphabet city-gramercy,23,3,1
alphabet city-gramercy,0,4,2
alphabet city-gramercy,1,4,1
alphabet city-gramercy,2,4,2
alphabet city-gramercy,7,4,2
alphabet city-gramercy,10,4,1
alphabet city-gramercy,13,4,1
alphabet city-gramercy,14,4,3
alphabet city-gramercy,16,4,3
alphabet city-gramercy,17,4,2
alphabet city-gramercy,19,4,1
alphabet city-gramercy,20,4,3
alphabet city-gramercy,21,4,2
alphabet city-gramercy,22,4,3
alphabet city-gramercy,23,4,3
alphabet city-gramercy,0,5,5
alphabet city-gramercy,1,5,8
alphabet city-gramercy,2,5,8
alphabet city-gramercy,3,5,1
alphabet city-gramercy,7,5,1
alphabet city-gramercy,8,5,2
alphabet city-gramercy,11,5,2
alphabet city-gramercy,13,5,1
alphabet city-gramercy,16,5,1
alphabet city-gramercy,17,5,3
alphabet city-gramercy,18,5,2
alphabet city-gramercy,19,5,1
alphabet city-gramercy,21,5,1
alphabet city-gramercy,22,5,2
alphabet city-gramercy,23,5,1
alphabet city-greenpoint,22,1,1
alphabet city-greenpoint,20,2,1
alphabet city-greenpoint,23,2,2
alphabet city-greenpoint,1,4,2
alphabet city-greenpoint,1,5,1
alphabet city-greenpoint,2,5,1
alphabet city-greenpoint,14,5,1
alphabet city-greenwich village north,7,0,1
alphabet city-greenwich village north,9,0,1
alphabet city-greenwich village north,10,0,1
alphabet city-greenwich village north,1,1,1
alphabet city-greenwich village north,8,1,1
alphabet city-greenwich village north,9,1,2
alphabet city-greenwich village north,10,1,3
alphabet city-greenwich village north,13,1,1
alphabet city-greenwich village north,17,1,1
alphabet city-greenwich village north,19,1,1
alphabet city-greenwich village north,0,2,1
alphabet city-greenwich village north,6,2,1
alphabet city-greenwich village north,8,2,1
alphabet city-greenwich village north,9,2,1
alphabet city-greenwich village north,10,2,1
alphabet city-greenwich village north,12,2,1
alphabet city-greenwich village north,15,2,1
alphabet city-greenwich village north,20,2,1
alphabet city-greenwich village north,10,3,1
alphabet city-greenwich village north,12,3,1
alphabet city-greenwich village north,13,3,1
alphabet city-greenwich village north,16,3,1
alphabet city-greenwich village north,17,3,1
alphabet city-greenwich village north,18,3,1
alphabet city-greenwich village north,21,3,1
alphabet city-greenwich village north,22,3,2
alphabet city-greenwich village north,23,3,2
alphabet city-greenwich village north,2,4,1
alphabet city-greenwich village north,7,4,1
