record_type,metric_table,run_section,metric_key,value,value_type,source_file,status,section_type,split,row_index,category,feature,real_prob,synth_prob,abs_diff
section_metric,metrics,strategy_val,joint_chi2,461513.5660063509,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_coverage_real,0.605018725,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_coverage_synth,0.5923404855,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_unique_real,236315.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_unique_synth,241373.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_mode_dropping_ratio,0.394981275,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_invalid_ratio,0.4076595145,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_jsd_rr,0.0060546798,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_chi2_rr,15491.251935314,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_coverage_real_rr,0.8699814949,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_coverage_synth_rr,0.868653599,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_unique_real_rr,12429.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_unique_synth_rr,12448.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_jsd_rr,0.0985409389,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_chi2_rr,308543.5817672253,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_coverage_real_rr,0.81703453,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_coverage_synth_rr,0.8168228939,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_unique_real_rr,185259.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_unique_synth_rr,185307.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_mode_dropping_ratio_rr,0.18296547,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_invalid_ratio_rr,0.1831771061,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,w1_tr_te,1.3068242353,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
